"Series Code","Indicator Name",,,,"Source"
"BX.KLT.DINV.CD.WD","Foreign direct investment, net inflows (BoP, current US$)",,,,"International Monetary Fund, Balance of Payments database, supplemented by data from the United Nations Conference on Trade and Development and official national sources."
"BX.KLT.DINV.WD.GD.ZS","Foreign direct investment, net inflows (% of GDP)",,,,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates."
"BX.KLT.DREM.CD.DT","Primary income on FDI (current US$)",,,,"International Monetary Fund, Balance of Payments Statistics Yearbook."
"BX.PEF.TOTL.CD.WD","Portfolio equity, net inflows (BoP, current US$)",,,,"International Monetary Fund, Balance of Payments database, and World Bank, International Debt Statistics."
"BX.TRF.CURR.CD","Secondary income receipts (BoP, current US$)",,,,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files."
"BX.TRF.PWKR.CD","Personal transfers, receipts (BoP, current US$)",,,,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files."
"BX.TRF.PWKR.CD.DT","Personal remittances, received (current US$)",,,,"World Bank staff estimates based on IMF balance of payments data."
"BX.TRF.PWKR.DT.GD.ZS","Personal remittances, received (% of GDP)",,,,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates."
"CM.MKT.INDX.ZG","S&P Global Equity Indices (annual % change)",,,,"Standard & Poor's, Global Stock Markets Factbook and supplemental S&P data."
"CM.MKT.LCAP.CD","Market capitalization of listed domestic companies (current US$)",,,,"World Federation of Exchanges database."
"CM.MKT.LCAP.GD.ZS","Market capitalization of listed domestic companies (% of GDP)",,,,"World Federation of Exchanges database."
"CM.MKT.LDOM.NO","Listed domestic companies, total",,,,"World Federation of Exchanges database."
"CM.MKT.TRAD.CD","Stocks traded, total value (current US$)",,,,"World Federation of Exchanges database."
"CM.MKT.TRAD.GD.ZS","Stocks traded, total value (% of GDP)",,,,"World Federation of Exchanges database."
"CM.MKT.TRNR","Stocks traded, turnover ratio of domestic shares (%)",,,,"World Federation of Exchanges database."
"DC.DAC.AUSL.CD","Net bilateral aid flows from DAC donors, Australia (current US$)",,,,"Development Assistance Committee of the Organisation for Economic Co-operation and Development, Geographical Distribution of Financial Flows to Developing Countries, Development Co-operation Report, and International Development Statistics database. Data are available online at: www.oecd.org/dac/stats/idsonline."
"DC.DAC.AUTL.CD","Net bilateral aid flows from DAC donors, Austria (current US$)",,,,"Development Assistance Committee of the Organisation for Economic Co-operation and Development, Geographical Distribution of Financial Flows to Developing Countries, Development Co-operation Report, and International Development Statistics database. Data are available online at: www.oecd.org/dac/stats/idsonline."
"DC.DAC.BELL.CD","Net bilateral aid flows from DAC donors, Belgium (current US$)",,,,"Development Assistance Committee of the Organisation for Economic Co-operation and Development, Geographical Distribution of Financial Flows to Developing Countries, Development Co-operation Report, and International Development Statistics database. Data are available online at: www.oecd.org/dac/stats/idsonline."
"DC.DAC.CANL.CD","Net bilateral aid flows from DAC donors, Canada (current US$)",,,,"Development Assistance Committee of the Organisation for Economic Co-operation and Development, Geographical Distribution of Financial Flows to Developing Countries, Development Co-operation Report, and International Development Statistics database. Data are available online at: www.oecd.org/dac/stats/idsonline."
"DC.DAC.CECL.CD","Net bilateral aid flows from DAC donors, European Union institutions (current US$)",,,,"Development Assistance Committee of the Organisation for Economic Co-operation and Development, Geographical Distribution of Financial Flows to Developing Countries, Development Co-operation Report, and International Development Statistics database. Data are available online at: www.oecd.org/dac/stats/idsonline."
"DC.DAC.CHEL.CD","Net bilateral aid flows from DAC donors, Switzerland (current US$)",,,,"Development Assistance Committee of the Organisation for Economic Co-operation and Development, Geographical Distribution of Financial Flows to Developing Countries, Development Co-operation Report, and International Development Statistics database. Data are available online at: www.oecd.org/dac/stats/idsonline."
"DC.DAC.CZEL.CD","Net bilateral aid flows from DAC donors, Czech Republic (current US$)",,,,"Development Assistance Committee of the Organisation for Economic Co-operation and Development, Geographical Distribution of Financial Flows to Developing Countries, Development Co-operation Report, and International Development Statistics database. Data are available online at: www.oecd.org/dac/stats/idsonline."
"DC.DAC.DEUL.CD","Net bilateral aid flows from DAC donors, Germany (current US$)",,,,"Development Assistance Committee of the Organisation for Economic Co-operation and Development, Geographical Distribution of Financial Flows to Developing Countries, Development Co-operation Report, and International Development Statistics database. Data are available online at: www.oecd.org/dac/stats/idsonline."
"DC.DAC.DNKL.CD","Net bilateral aid flows from DAC donors, Denmark (current US$)",,,,"Development Assistance Committee of the Organisation for Economic Co-operation and Development, Geographical Distribution of Financial Flows to Developing Countries, Development Co-operation Report, and International Development Statistics database. Data are available online at: www.oecd.org/dac/stats/idsonline."
