"Series Code","Indicator Name",,,,"Source"
"DT.TDS.MLAT.CD","Multilateral debt service (TDS, current US$)",,,,"World Bank, International Debt Statistics."
"DT.TDS.MLAT.PG.ZS","Multilateral debt service (% of public and publicly guaranteed debt service)",,,,"World Bank, International Debt Statistics."
"DT.TDS.MLTC.CD","PPG, multilateral concessional (TDS, current US$)",,,,"World Bank, International Debt Statistics."
"DT.TDS.OFFT.CD","PPG, official creditors (TDS, current US$)",,,,"World Bank, International Debt Statistics."
"DT.TDS.PBND.CD","PPG, bonds (TDS, current US$)",,,,"World Bank, International Debt Statistics."
"DT.TDS.PCBK.CD","PPG, commercial banks (TDS, current US$)",,,,"World Bank, International Debt Statistics."
"DT.TDS.PNGB.CD","PNG, bonds (TDS, current US$)",,,,"World Bank, International Debt Statistics."
"DT.TDS.PNGC.CD","PNG, commercial banks and other creditors (TDS, current US$)",,,,"World Bank, International Debt Statistics."
"DT.TDS.PROP.CD","PPG, other private creditors (TDS, current US$)",,,,"World Bank, International Debt Statistics."
"DT.TDS.PRVT.CD","PPG, private creditors (TDS, current US$)",,,,"World Bank, International Debt Statistics."
"DT.TXR.DPPG.CD","Total amount of debt rescheduled (current US$)",,,,"World Bank, International Debt Statistics."
"DT.UND.DPPG.CD","Undisbursed external debt, total (UND, current US$)",,,,"World Bank, International Debt Statistics."
"DT.UND.OFFT.CD","Undisbursed external debt, official creditors (UND, current US$)",,,,"World Bank, International Debt Statistics."
"DT.UND.PRVT.CD","Undisbursed external debt, private creditors (UND, current US$)",,,,"World Bank, International Debt Statistics."
"EG.CFT.ACCS.ZS","Access to clean fuels and technologies for cooking  (% of population)",,,,"World Bank, Sustainable Energy for All (SE4ALL) database from WHO Global Household Energy database."
"EG.EGY.PRIM.PP.KD","Energy intensity level of primary energy (MJ/$2011 PPP GDP)",,,,"World Bank, Sustainable Energy for All (SE4ALL) database from the SE4ALL Global Tracking Framework led jointly by the World Bank, International Energy Agency, and the Energy Sector Management Assistance Program."
"EG.ELC.ACCS.RU.ZS","Access to electricity, rural (% of rural population)",,,,"World Bank, Sustainable Energy for All (SE4ALL) database from the SE4ALL Global Tracking Framework led jointly by the World Bank, International Energy Agency, and the Energy Sector Management Assistance Program."
"EG.ELC.ACCS.UR.ZS","Access to electricity, urban (% of urban population)",,,,"World Bank, Sustainable Energy for All (SE4ALL) database from the SE4ALL Global Tracking Framework led jointly by the World Bank, International Energy Agency, and the Energy Sector Management Assistance Program."
"EG.ELC.ACCS.ZS","Access to electricity (% of population)",,,,"World Bank, Sustainable Energy for All (SE4ALL) database from the SE4ALL Global Tracking Framework led jointly by the World Bank, International Energy Agency, and the Energy Sector Management Assistance Program."
"EG.ELC.COAL.ZS","Electricity production from coal sources (% of total)",,,,"IEA Statistics © OECD/IEA 2014 (http://www.iea.org/stats/index.asp), subject to https://www.iea.org/t&c/termsandconditions/"
"EG.ELC.FOSL.ZS","Electricity production from oil, gas and coal sources (% of total)",,,,"IEA Statistics © OECD/IEA 2014 (http://www.iea.org/stats/index.asp), subject to https://www.iea.org/t&c/termsandconditions/"
"EG.ELC.HYRO.ZS","Electricity production from hydroelectric sources (% of total)",,,,"IEA Statistics © OECD/IEA 2014 (http://www.iea.org/stats/index.asp), subject to https://www.iea.org/t&c/termsandconditions/"
"EG.ELC.LOSS.ZS","Electric power transmission and distribution losses (% of output)",,,,"IEA Statistics © OECD/IEA 2014 (http://www.iea.org/stats/index.asp), subject to https://www.iea.org/t&c/termsandconditions/"
"EG.ELC.NGAS.ZS","Electricity production from natural gas sources (% of total)",,,,"IEA Statistics © OECD/IEA 2014 (http://www.iea.org/stats/index.asp), subject to https://www.iea.org/t&c/termsandconditions/"
"EG.ELC.NUCL.ZS","Electricity production from nuclear sources (% of total)",,,,"IEA Statistics © OECD/IEA 2014 (http://www.iea.org/stats/index.asp), subject to https://www.iea.org/t&c/termsandconditions/"
"EG.ELC.PETR.ZS","Electricity production from oil sources (% of total)",,,,"IEA Statistics © OECD/IEA 2014 (http://www.iea.org/stats/index.asp), subject to https://www.iea.org/t&c/termsandconditions/"
"EG.ELC.RNEW.ZS","Renewable electricity output (% of total electricity output)",,,,"World Bank, Sustainable Energy for All (SE4ALL) database from the SE4ALL Global Tracking Framework led jointly by the World Bank, International Energy Agency, and the Energy Sector Management Assistance Program."
"EG.ELC.RNWX.KH","Electricity production from renewable sources, excluding hydroelectric (kWh)",,,,"IEA Statistics © OECD/IEA 2014 (http://www.iea.org/stats/index.asp), subject to https://www.iea.org/t&c/termsandconditions/"
"EG.ELC.RNWX.ZS","Electricity production from renewable sources, excluding hydroelectric (% of total)",,,,"IEA Statistics © OECD/IEA 2014 (http://www.iea.org/stats/index.asp), subject to https://www.iea.org/t&c/termsandconditions/"
"EG.FEC.RNEW.ZS","Renewable energy consumption (% of total final energy consumption)",,,,"World Bank, Sustainable Energy for All (SE4ALL) database from the SE4ALL Global Tracking Framework led jointly by the World Bank, International Energy Agency, and the Energy Sector Management Assistance Program."
"EG.GDP.PUSE.KO.PP","GDP per unit of energy use (PPP $ per kg of oil equivalent)",,,,"IEA Statistics © OECD/IEA 2014 (http://www.iea.org/stats/index.asp), subject to https://www.iea.org/t&c/termsandconditions/"
"EG.GDP.PUSE.KO.PP.KD","GDP per unit of energy use (constant 2011 PPP $ per kg of oil equivalent)",,,,"IEA Statistics © OECD/IEA 2014 (http://www.iea.org/stats/index.asp), subject to https://www.iea.org/t&c/termsandconditions/"
"EG.IMP.CONS.ZS","Energy imports, net (% of energy use)",,,,"IEA Statistics © OECD/IEA 2014 (http://www.iea.org/stats/index.asp), subject to https://www.iea.org/t&c/termsandconditions/"
"EG.USE.COMM.CL.ZS","Alternative and nuclear energy (% of total energy use)",,,,"IEA Statistics © OECD/IEA 2014 (http://www.iea.org/stats/index.asp), subject to https://www.iea.org/t&c/termsandconditions/"
"EG.USE.COMM.FO.ZS","Fossil fuel energy consumption (% of total)",,,,"IEA Statistics © OECD/IEA 2014 (http://www.iea.org/stats/index.asp), subject to https://www.iea.org/t&c/termsandconditions/"
"EG.USE.COMM.GD.PP.KD","Energy use (kg of oil equivalent) per $1,000 GDP (constant 2011 PPP)",,,,"IEA Statistics © OECD/IEA 2014 (http://www.iea.org/stats/index.asp), subject to https://www.iea.org/t&c/termsandconditions/"
"EG.USE.CRNW.ZS","Combustible renewables and waste (% of total energy)",,,,"IEA Statistics © OECD/IEA 2014 (http://www.iea.org/stats/index.asp), subject to https://www.iea.org/t&c/termsandconditions/"
"EG.USE.ELEC.KH.PC","Electric power consumption (kWh per capita)",,,,"IEA Statistics © OECD/IEA 2014 (http://www.iea.org/stats/index.asp), subject to https://www.iea.org/t&c/termsandconditions/"
"EG.USE.PCAP.KG.OE","Energy use (kg of oil equivalent per capita)",,,,"IEA Statistics © OECD/IEA 2014 (http://www.iea.org/stats/index.asp), subject to https://www.iea.org/t&c/termsandconditions/"
"EN.ATM.CO2E.EG.ZS","CO2 intensity (kg per kg of oil equivalent energy use)",,,,"Carbon Dioxide Information Analysis Center, Environmental Sciences Division, Oak Ridge National Laboratory, Tennessee, United States."
"EN.ATM.CO2E.GF.KT","CO2 emissions from gaseous fuel consumption (kt)",,,,"Carbon Dioxide Information Analysis Center, Environmental Sciences Division, Oak Ridge National Laboratory, Tennessee, United States."
"EN.ATM.CO2E.GF.ZS","CO2 emissions from gaseous fuel consumption (% of total)",,,,"Carbon Dioxide Information Analysis Center, Environmental Sciences Division, Oak Ridge National Laboratory, Tennessee, United States."
"EN.ATM.CO2E.KD.GD","CO2 emissions (kg per 2010 US$ of GDP)",,,,"Carbon Dioxide Information Analysis Center, Environmental Sciences Division, Oak Ridge National Laboratory, Tennessee, United States."
"EN.ATM.CO2E.KT","CO2 emissions (kt)",,,,"Carbon Dioxide Information Analysis Center, Environmental Sciences Division, Oak Ridge National Laboratory, Tennessee, United States."
"EN.ATM.CO2E.LF.KT","CO2 emissions from liquid fuel consumption (kt)",,,,"Carbon Dioxide Information Analysis Center, Environmental Sciences Division, Oak Ridge National Laboratory, Tennessee, United States."
"EN.ATM.CO2E.LF.ZS","CO2 emissions from liquid fuel consumption (% of total)",,,,"Carbon Dioxide Information Analysis Center, Environmental Sciences Division, Oak Ridge National Laboratory, Tennessee, United States."
"EN.ATM.CO2E.PC","CO2 emissions (metric tons per capita)",,,,"Carbon Dioxide Information Analysis Center, Environmental Sciences Division, Oak Ridge National Laboratory, Tennessee, United States."
"EN.ATM.CO2E.PP.GD","CO2 emissions (kg per PPP $ of GDP)",,,,"Carbon Dioxide Information Analysis Center, Environmental Sciences Division, Oak Ridge National Laboratory, Tennessee, United States."
"EN.ATM.CO2E.PP.GD.KD","CO2 emissions (kg per 2011 PPP $ of GDP)",,,,"Carbon Dioxide Information Analysis Center, Environmental Sciences Division, Oak Ridge National Laboratory, Tennessee, United States."
"EN.ATM.CO2E.SF.KT","CO2 emissions from solid fuel consumption (kt)",,,,"Carbon Dioxide Information Analysis Center, Environmental Sciences Division, Oak Ridge National Laboratory, Tennessee, United States."
"EN.ATM.CO2E.SF.ZS","CO2 emissions from solid fuel consumption (% of total)",,,,"Carbon Dioxide Information Analysis Center, Environmental Sciences Division, Oak Ridge National Laboratory, Tennessee, United States."
"EN.ATM.GHGO.KT.CE","Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",,,,"World Bank staff estimates from original source: European Commission, Joint Research Centre (JRC)/Netherlands Environmental Assessment Agency (PBL). Emission Database for Global Atmospheric Research (EDGAR): http://edgar.jrc.ec.europa.eu/."
"EN.ATM.GHGO.ZG","Other greenhouse gas emissions (% change from 1990)",,,,"World Bank staff estimates from original source: European Commission, Joint Research Centre (JRC)/Netherlands Environmental Assessment Agency (PBL). Emission Database for Global Atmospheric Research (EDGAR): http://edgar.jrc.ec.europa.eu/."
"EN.ATM.GHGT.KT.CE","Total greenhouse gas emissions (kt of CO2 equivalent)",,,,"European Commission, Joint Research Centre (JRC)/Netherlands Environmental Assessment Agency (PBL). Emission Database for Global Atmospheric Research (EDGAR), EDGARv4.2 FT2012: http://edgar.jrc.ec.europa.eu/"
"EN.ATM.GHGT.ZG","Total greenhouse gas emissions (% change from 1990)",,,,"World Bank staff estimates from original source: European Commission, Joint Research Centre (JRC)/Netherlands Environmental Assessment Agency (PBL). Emission Database for Global Atmospheric Research (EDGAR): http://edgar.jrc.ec.europa.eu/."
"EN.ATM.HFCG.KT.CE","HFC gas emissions (thousand metric tons of CO2 equivalent)",,,,"European Commission, Joint Research Centre (JRC)/Netherlands Environmental Assessment Agency (PBL). Emission Database for Global Atmospheric Research (EDGAR): http://edgar.jrc.ec.europa.eu/"
"EN.ATM.METH.AG.KT.CE","Agricultural methane emissions (thousand metric tons of CO2 equivalent)",,,,"European Commission, Joint Research Centre (JRC)/Netherlands Environmental Assessment Agency (PBL). Emission Database for Global Atmospheric Research (EDGAR): http://edgar.jrc.ec.europa.eu/"
"EN.ATM.METH.AG.ZS","Agricultural methane emissions (% of total)",,,,"World Bank staff estimates from original source: European Commission, Joint Research Centre (JRC)/Netherlands Environmental Assessment Agency (PBL). Emission Database for Global Atmospheric Research (EDGAR): http://edgar.jrc.ec.europa.eu/."
"EN.ATM.METH.EG.KT.CE","Methane emissions in energy sector (thousand metric tons of CO2 equivalent)",,,,"European Commission, Joint Research Centre (JRC)/Netherlands Environmental Assessment Agency (PBL). Emission Database for Global Atmospheric Research (EDGAR): http://edgar.jrc.ec.europa.eu/"
"EN.ATM.METH.EG.ZS","Energy related methane emissions (% of total)",,,,"World Bank staff estimates from original source: European Commission, Joint Research Centre (JRC)/Netherlands Environmental Assessment Agency (PBL). Emission Database for Global Atmospheric Research (EDGAR): http://edgar.jrc.ec.europa.eu/."
"EN.ATM.METH.KT.CE","Methane emissions (kt of CO2 equivalent)",,,,"European Commission, Joint Research Centre (JRC)/Netherlands Environmental Assessment Agency (PBL). Emission Database for Global Atmospheric Research (EDGAR): http://edgar.jrc.ec.europa.eu/"
"EN.ATM.METH.ZG","Methane emissions (% change from 1990)",,,,"World Bank staff estimates from original source: European Commission, Joint Research Centre (JRC)/Netherlands Environmental Assessment Agency (PBL). Emission Database for Global Atmospheric Research (EDGAR): http://edgar.jrc.ec.europa.eu/."
"EN.ATM.NOXE.AG.KT.CE","Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent)",,,,"European Commission, Joint Research Centre (JRC)/Netherlands Environmental Assessment Agency (PBL). Emission Database for Global Atmospheric Research (EDGAR): http://edgar.jrc.ec.europa.eu/"
"EN.ATM.NOXE.AG.ZS","Agricultural nitrous oxide emissions (% of total)",,,,"World Bank staff estimates from original source: European Commission, Joint Research Centre (JRC)/Netherlands Environmental Assessment Agency (PBL). Emission Database for Global Atmospheric Research (EDGAR): http://edgar.jrc.ec.europa.eu/."
"EN.ATM.NOXE.EG.KT.CE","Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent)",,,,"European Commission, Joint Research Centre (JRC)/Netherlands Environmental Assessment Agency (PBL). Emission Database for Global Atmospheric Research (EDGAR): http://edgar.jrc.ec.europa.eu/"
"EN.ATM.NOXE.EG.ZS","Nitrous oxide emissions in energy sector (% of total)",,,,"World Bank staff estimates from original source: European Commission, Joint Research Centre (JRC)/Netherlands Environmental Assessment Agency (PBL). Emission Database for Global Atmospheric Research (EDGAR): http://edgar.jrc.ec.europa.eu/."
"EN.ATM.NOXE.KT.CE","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)",,,,"European Commission, Joint Research Centre (JRC)/Netherlands Environmental Assessment Agency (PBL). Emission Database for Global Atmospheric Research (EDGAR): http://edgar.jrc.ec.europa.eu/"
"EN.ATM.NOXE.ZG","Nitrous oxide emissions (% change from 1990)",,,,"World Bank staff estimates from original source: European Commission, Joint Research Centre (JRC)/Netherlands Environmental Assessment Agency (PBL). Emission Database for Global Atmospheric Research (EDGAR): http://edgar.jrc.ec.europa.eu/."
"EN.ATM.PFCG.KT.CE","PFC gas emissions (thousand metric tons of CO2 equivalent)",,,,"European Commission, Joint Research Centre (JRC)/Netherlands Environmental Assessment Agency (PBL). Emission Database for Global Atmospheric Research (EDGAR): http://edgar.jrc.ec.europa.eu/"
"EN.ATM.PM25.MC.M3","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",,,,"Brauer, M. et al. 2016, for the Global Burden of Disease Study 2016."
"EN.ATM.PM25.MC.T1.ZS","PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-1 value (% of total)",,,,"Brauer, M. et al. 2016, for the Global Burden of Disease Study 2016."
"EN.ATM.PM25.MC.T2.ZS","PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-2 value (% of total)",,,,"Brauer, M. et al. 2016, for the Global Burden of Disease Study 2016."
"EN.ATM.PM25.MC.T3.ZS","PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-3 value (% of total)",,,,"Brauer, M. et al. 2016, for the Global Burden of Disease Study 2016."
"EN.ATM.PM25.MC.ZS","PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",,,,"Brauer, M. et al. 2016, for the Global Burden of Disease Study 2016."
"EN.ATM.SF6G.KT.CE","SF6 gas emissions (thousand metric tons of CO2 equivalent)",,,,"European Commission, Joint Research Centre (JRC)/Netherlands Environmental Assessment Agency (PBL). Emission Database for Global Atmospheric Research (EDGAR): http://edgar.jrc.ec.europa.eu/"
"EN.BIR.THRD.NO","Bird species, threatened",,,,"United Nations Environmental Program and the World Conservation Monitoring Centre, and International Union for Conservation of Nature, Red List of Threatened Species."
"EN.CLC.DRSK.XQ","Disaster risk reduction progress score (1-5 scale; 5=best)",,,,"(UNISDR, 2009-2011 Progress Reports, http://www.preventionweb.net/english/hyogo)."
"EN.CLC.GHGR.MT.CE","GHG net emissions/removals by LUCF (Mt of CO2 equivalent)",,,,"United Nations Framework Convention on Climate Change."
"EN.CLC.MDAT.ZS","Droughts, floods, extreme temperatures (% of population, average 1990-2009)",,,,"EM-DAT: The OFDA/CRED International Disaster Database: www.emdat.be, Université Catholique de Louvain, Brussels (Belgium), World Bank."
"EN.CO2.BLDG.ZS","CO2 emissions from residential buildings and commercial and public services (% of total fuel combustion)",,,,"IEA Statistics © OECD/IEA 2014 (http://www.iea.org/stats/index.asp), subject to https://www.iea.org/t&c/termsandconditions/"
"EN.CO2.ETOT.ZS","CO2 emissions from electricity and heat production, total (% of total fuel combustion)",,,,"IEA Statistics © OECD/IEA 2014 (http://www.iea.org/stats/index.asp), subject to https://www.iea.org/t&c/termsandconditions/"
"EN.CO2.MANF.ZS","CO2 emissions from manufacturing industries and construction (% of total fuel combustion)",,,,"IEA Statistics © OECD/IEA 2014 (http://www.iea.org/stats/index.asp), subject to https://www.iea.org/t&c/termsandconditions/"
"EN.CO2.OTHX.ZS","CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)",,,,"IEA Statistics © OECD/IEA 2014 (http://www.iea.org/stats/index.asp), subject to https://www.iea.org/t&c/termsandconditions/"
"EN.CO2.TRAN.ZS","CO2 emissions from transport (% of total fuel combustion)",,,,"IEA Statistics © OECD/IEA 2014 (http://www.iea.org/stats/index.asp), subject to https://www.iea.org/t&c/termsandconditions/"
"EN.FSH.THRD.NO","Fish species, threatened",,,,"Froese, R. and Pauly, D. (eds). 2008. FishBase database, www.fishbase.org."
"EN.HPT.THRD.NO","Plant species (higher), threatened",,,,"United Nations Environmental Program and the World Conservation Monitoring Centre, and International Union for Conservation of Nature, Red List of Threatened Species."
"EN.MAM.THRD.NO","Mammal species, threatened",,,,"United Nations Environmental Program and the World Conservation Monitoring Centre, and International Union for Conservation of Nature, Red List of Threatened Species."
"EN.POP.DNST","Population density (people per sq. km of land area)",,,,"Food and Agriculture Organization and World Bank population estimates."
"EN.POP.EL5M.RU.ZS","Rural population living in areas where elevation is below 5 meters (% of total population)",,,,"Center for International Earth Science Information Network (CIESIN)/Columbia University. 2013. Urban-Rural Population and Land Area Estimates Version 2. Palisades, NY: NASA Socioeconomic Data and Applications Center (SEDAC). http://sedac.ciesin.columbia.edu/data/set/lecz-urban-rural-population-land-area-estimates-v2."
"EN.POP.EL5M.UR.ZS","Urban population living in areas where elevation is below 5 meters (% of total population)",,,,"Center for International Earth Science Information Network (CIESIN)/Columbia University. 2013. Urban-Rural Population and Land Area Estimates Version 2. Palisades, NY: NASA Socioeconomic Data and Applications Center (SEDAC). http://sedac.ciesin.columbia.edu/data/set/lecz-urban-rural-population-land-area-estimates-v2."
"EN.POP.EL5M.ZS","Population living in areas where elevation is below 5 meters (% of total population)",,,,"Center for International Earth Science Information Network (CIESIN)/Columbia University. 2013. Urban-Rural Population and Land Area Estimates Version 2. Palisades, NY: NASA Socioeconomic Data and Applications Center (SEDAC). http://sedac.ciesin.columbia.edu/data/set/lecz-urban-rural-population-land-area-estimates-v2."
"EN.POP.SLUM.UR.ZS","Population living in slums (% of urban population)",,,,"UN HABITAT, retrieved from the United Nation's Millennium Development Goals database. Data are available at : http://mdgs.un.org/"
"EN.URB.LCTY","Population in largest city",,,,"United Nations, World Urbanization Prospects."
"EN.URB.LCTY.UR.ZS","Population in the largest city (% of urban population)",,,,"United Nations, World Urbanization Prospects."
"EN.URB.MCTY","Population in urban agglomerations of more than 1 million",,,,"United Nations, World Urbanization Prospects."
"EN.URB.MCTY.TL.ZS","Population in urban agglomerations of more than 1 million (% of total population)",,,,"United Nations, World Urbanization Prospects."
"EP.PMP.DESL.CD","Pump price for diesel fuel (US$ per liter)",,,,"German Agency for International Cooperation (GIZ)."
"EP.PMP.SGAS.CD","Pump price for gasoline (US$ per liter)",,,,"German Agency for International Cooperation (GIZ)."
"ER.FSH.AQUA.MT","Aquaculture production (metric tons)",,,,"Food and Agriculture Organization."
"ER.FSH.CAPT.MT","Capture fisheries production (metric tons)",,,,"Food and Agriculture Organization."
"ER.FSH.PROD.MT","Total fisheries production (metric tons)",,,,"Food and Agriculture Organization."
"ER.GDP.FWTL.M3.KD","Water productivity, total (constant 2010 US$ GDP per cubic meter of total freshwater withdrawal)",,,,"Food and Agriculture Organization, AQUASTAT data, and World Bank and OECD GDP estimates."
"ER.H2O.FWAG.ZS","Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",,,,"Food and Agriculture Organization, AQUASTAT data."
"ER.H2O.FWDM.ZS","Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)",,,,"Food and Agriculture Organization, AQUASTAT data."
"ER.H2O.FWIN.ZS","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)",,,,"Food and Agriculture Organization, AQUASTAT data."
"ER.H2O.FWST.ZS","Level of water stress: freshwater withdrawal as a proportion of available freshwater resources",,,,"Food and Agriculture Organization, AQUASTAT data."
"ER.H2O.FWTL.K3","Annual freshwater withdrawals, total (billion cubic meters)",,,,"Food and Agriculture Organization, AQUASTAT data."
"ER.H2O.FWTL.ZS","Annual freshwater withdrawals, total (% of internal resources)",,,,"Food and Agriculture Organization, AQUASTAT data."
"ER.H2O.INTR.K3","Renewable internal freshwater resources, total (billion cubic meters)",,,,"Food and Agriculture Organization, AQUASTAT data."
"ER.H2O.INTR.PC","Renewable internal freshwater resources per capita (cubic meters)",,,,"Food and Agriculture Organization, AQUASTAT data."
"ER.LND.PTLD.ZS","Terrestrial protected areas (% of total land area)",,,,"United Nations Environmental Program and the World Conservation Monitoring Centre, as compiled by the World Resources Institute, based on data from national authorities, national legislation and international agreements."
"ER.MRN.PTMR.ZS","Marine protected areas (% of territorial waters)",,,,"United Nations Environmental Program and the World Conservation Monitoring Centre, as compiled by the World Resources Institute, based on data from national authorities, national legislation and international agreements."
"ER.PTD.TOTL.ZS","Terrestrial and marine protected areas (% of total territorial area)",,,,"United Nations Environmental Program and the World Conservation Monitoring Centre, as compiled by the World Resources Institute, based on data from national authorities, national legislation and international agreements."
"FB.AST.NPER.ZS","Bank nonperforming loans to total gross loans (%)",,,,"International Monetary Fund, Global Financial Stability Report."
"FB.ATM.TOTL.P5","Automated teller machines (ATMs) (per 100,000 adults)",,,,"International Monetary Fund, Financial Access Survey."
"FB.BNK.CAPA.ZS","Bank capital to assets ratio (%)",,,,"International Monetary Fund, Global Financial Stability Report."
"FB.CBK.BRCH.P5","Commercial bank branches (per 100,000 adults)",,,,"International Monetary Fund, Financial Access Survey."
"FB.CBK.BRWR.P3","Borrowers from commercial banks (per 1,000 adults)",,,,"International Monetary Fund, Financial Access Survey."
"FB.CBK.DPTR.P3","Depositors with commercial banks (per 1,000 adults)",,,,"International Monetary Fund, Financial Access Survey."
"FD.AST.PRVT.GD.ZS","Domestic credit to private sector by banks (% of GDP)",,,,"International Monetary Fund, International Financial Statistics and data files, and World Bank and OECD GDP estimates."
"FD.RES.LIQU.AS.ZS","Bank liquid reserves to bank assets ratio (%)",,,,"International Monetary Fund, International Financial Statistics and data files."
"FI.RES.TOTL.CD","Total reserves (includes gold, current US$)",,,,"International Monetary Fund, International Financial Statistics and data files."
"FI.RES.TOTL.DT.ZS","Total reserves (% of total external debt)",,,,"World Bank, International Debt Statistics."
"FI.RES.TOTL.MO","Total reserves in months of imports",,,,"International Monetary Fund, International Financial Statistics and data files."
"FI.RES.XGLD.CD","Total reserves minus gold (current US$)",,,,"International Monetary Fund, International Financial Statistics and data files."
"FM.AST.CGOV.ZG.M3","Claims on central government (annual growth as % of broad money)",,,,"International Monetary Fund, International Financial Statistics and data files."
"FM.AST.DOMO.ZG.M3","Claims on other sectors of the domestic economy (annual growth as % of broad money)",,,,"International Monetary Fund, International Financial Statistics and data files."
"FM.AST.DOMS.CN","Net domestic credit (current LCU)",,,,"International Monetary Fund, International Financial Statistics and data files."
"FM.AST.NFRG.CN","Net foreign assets (current LCU)",,,,"International Monetary Fund, International Financial Statistics and data files."
"FM.AST.PRVT.ZG.M3","Claims on private sector (annual growth as % of broad money)",,,,"International Monetary Fund, International Financial Statistics and data files."
"FM.LBL.BMNY.CN","Broad money (current LCU)",,,,"International Monetary Fund, International Financial Statistics and data files."
"FM.LBL.BMNY.GD.ZS","Broad money (% of GDP)",,,,"International Monetary Fund, International Financial Statistics and data files, and World Bank and OECD GDP estimates."
"FM.LBL.BMNY.IR.ZS","Broad money to total reserves ratio",,,,"International Monetary Fund, International Financial Statistics and data files."
"FM.LBL.BMNY.ZG","Broad money growth (annual %)",,,,"International Monetary Fund, International Financial Statistics and data files."
"FP.CPI.TOTL","Consumer price index (2010 = 100)",,,,"International Monetary Fund, International Financial Statistics and data files."
"FP.CPI.TOTL.ZG","Inflation, consumer prices (annual %)",,,,"International Monetary Fund, International Financial Statistics and data files."
"FP.WPI.TOTL","Wholesale price index (2010 = 100)",,,,"International Monetary Fund, International Financial Statistics and data files."
"FR.INR.DPST","Deposit interest rate (%)",,,,"International Monetary Fund, International Financial Statistics and data files."
"FR.INR.LEND","Lending interest rate (%)",,,,"International Monetary Fund, International Financial Statistics and data files."
"FR.INR.LNDP","Interest rate spread (lending rate minus deposit rate, %)",,,,"International Monetary Fund, International Financial Statistics and data files."
"FR.INR.RINR","Real interest rate (%)",,,,"International Monetary Fund, International Financial Statistics and data files using World Bank data on the GDP deflator."
"FR.INR.RISK","Risk premium on lending (lending rate minus treasury bill rate, %)",,,,"International Monetary Fund, International Financial Statistics database."
"FS.AST.CGOV.GD.ZS","Claims on central government, etc. (% GDP)",,,,"International Monetary Fund, International Financial Statistics and data files, and World Bank and OECD GDP estimates."
"FS.AST.DOMO.GD.ZS","Claims on other sectors of the domestic economy (% of GDP)",,,,"International Monetary Fund, International Financial Statistics and data files, and World Bank and OECD GDP estimates."
"FS.AST.DOMS.GD.ZS","Domestic credit provided by financial sector (% of GDP)",,,,"International Monetary Fund, International Financial Statistics and data files, and World Bank and OECD GDP estimates."
"FS.AST.PRVT.GD.ZS","Domestic credit to private sector (% of GDP)",,,,"International Monetary Fund, International Financial Statistics and data files, and World Bank and OECD GDP estimates."
"FX.OWN.TOTL.40.ZS","Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)",,,,"Demirguc-Kunt et al., 2018, Global Financial Inclusion Database, World Bank."
"FX.OWN.TOTL.60.ZS","Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)",,,,"Demirguc-Kunt et al., 2018, Global Financial Inclusion Database, World Bank."
"FX.OWN.TOTL.FE.ZS","Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",,,,"Demirguc-Kunt et al., 2018, Global Financial Inclusion Database, World Bank."
"FX.OWN.TOTL.MA.ZS","Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",,,,"Demirguc-Kunt et al., 2018, Global Financial Inclusion Database, World Bank."
"FX.OWN.TOTL.OL.ZS","Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)",,,,"Demirguc-Kunt et al., 2018, Global Financial Inclusion Database, World Bank."
"FX.OWN.TOTL.PL.ZS","Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",,,,"Demirguc-Kunt et al., 2018, Global Financial Inclusion Database, World Bank."
"FX.OWN.TOTL.SO.ZS","Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)",,,,"Demirguc-Kunt et al., 2018, Global Financial Inclusion Database, World Bank."
"FX.OWN.TOTL.YG.ZS","Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",,,,"Demirguc-Kunt et al., 2018, Global Financial Inclusion Database, World Bank."
"FX.OWN.TOTL.ZS","Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+)",,,,"Demirguc-Kunt et al., 2018, Global Financial Inclusion Database, World Bank."
"GB.XPD.RSDV.GD.ZS","Research and development expenditure (% of GDP)",,,,"UNESCO Institute for Statistics"
